seed,cell,sample,model_forward_ms,adapter_total_ms,base_ms,factor_ms,adapter_residual_combine_ms,moe_total_ms,router_ms,shared_expert_ms,selected_expert_compute_ms,expert_dispatch_aggregate_ms,non_adapter_model_ms
260829,a,108,5.666816234588623,4.481951922178268,0.32998399436473846,4.114496037364006,0.037471890449523926,0,0,0,0,0.0,1.1848643124103546
260829,a,109,5.671040058135986,4.480735927820206,0.33084800094366074,4.111135914921761,0.03875201195478439,0,0,0,0,0.0,1.1903041303157806
260829,a,110,5.671616077423096,4.483935922384262,0.3299199938774109,4.117504060268402,0.0365118682384491,0,0,0,0,0.0,1.1876801550388336
260829,a,111,5.691391944885254,4.482047945261002,0.3317760080099106,4.11340805888176,0.03686387836933136,0,0,0,0,0.0,1.2093439996242523
260829,a,112,5.681119918823242,4.483135938644409,0.33107200264930725,4.112480044364929,0.03958389163017273,0,0,0,0,0.0,1.197983980178833
260829,a,113,5.678080081939697,4.48323193192482,0.3310080021619797,4.114112108945847,0.03811182081699371,0,0,0,0,0.0,1.1948481500148773
260829,a,114,5.712863922119141,4.526720017194748,0.3307520002126694,4.155519887804985,0.040448129177093506,0,0,0,0,0.0,1.1861439049243927
260829,a,115,5.686272144317627,4.480832010507584,0.32972800731658936,4.115296080708504,0.03580792248249054,0,0,0,0,0.0,1.2054401338100433
260829,a,116,5.718016147613525,4.506752073764801,0.32953600585460663,4.118207976222038,0.05900809168815613,0,0,0,0,0.0,1.2112640738487244
260829,a,117,5.677055835723877,4.486143887042999,0.33177600055933,4.118528038263321,0.03583984822034836,0,0,0,0,0.0,1.1909119486808777
260829,a,118,5.667712211608887,4.479999929666519,0.33001599460840225,4.112384051084518,0.03759988397359848,0,0,0,0,0.0,1.1877122819423676
260829,a,119,5.7118401527404785,4.511743932962418,0.3591040000319481,4.117504075169563,0.03513585776090622,0,0,0,0,0.0,1.200096219778061
260829,a,120,5.697311878204346,4.484095960855484,0.33103999495506287,4.113600045442581,0.039455920457839966,0,0,0,0,0.0,1.2132159173488617
260829,a,121,5.695263862609863,4.506624102592468,0.3304320052266121,4.1400319784879684,0.036160118877887726,0,0,0,0,0.0,1.188639760017395
260829,a,122,5.662720203399658,4.475871950387955,0.3298880010843277,4.111008122563362,0.03497582674026489,0,0,0,0,0.0,1.1868482530117035
260829,a,123,5.709824085235596,4.4919039607048035,0.33104000240564346,4.121952101588249,0.0389118567109108,0,0,0,0,0.0,1.2179201245307922
260829,a,124,5.672895908355713,4.480223923921585,0.33004800975322723,4.110239952802658,0.03993596136569977,0,0,0,0,0.0,1.1926719844341278
260829,a,125,5.676032066345215,4.488191932439804,0.33110400289297104,4.1154560297727585,0.041631899774074554,0,0,0,0,0.0,1.1878401339054108
